smiles_1,smiles_2,id_1,id_2,transformation,context
CN1CCN(C(=O)c2cc(F)cc3c2cc(C#CCNc2ccc(C(C)(C)C#N)nc2)n3CC(F)(F)F)CC1,CN1CCN(C(=O)c2ccc3c(c2)cc(C#CCNc2ccc(C(C)(C)C#N)nc2)n3CC(F)(F)F)CC1,mol449,mol281,[*:1]c1cc(F)cc2c1cc([*:2])n2[*:3]>>[*:1]c1ccc2c(c1)cc([*:2])n2[*:3],[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(=O)N1CCN(C)CC1.[*:3]CC(F)(F)F
CN(C)C1CCN(Cc2ccc3c(c2)cc(C#CCNc2ccc(C(C)(C)C#N)nc2)n3CC(F)(F)F)CC1,CN(C)C1CCN(Cc2cc3cc(C#CCNc4ccc(C(C)(C)C#N)nc4)n(CC(F)(F)F)c3cn2)CC1,mol218,mol111,[*:1]Cn1c([*:2])cc2cc([*:3])ccc21>>[*:1]Cn1c([*:2])cc2cc([*:3])ncc21,[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:3]CN1CCC(N(C)C)CC1
CN(C)C1CCN(Cc2cccc3c2cc(C#CCNc2ccc(C(C)(C)C#N)nc2)n3CC(F)(F)F)CC1,CN(C)C1CCN(Cc2cc3cc(C#CCNc4ccc(C(C)(C)C#N)nc4)n(CC(F)(F)F)c3cn2)CC1,mol399,mol111,[*:1]Cn1c([*:2])cc2c([*:3])cccc21>>[*:1]Cn1c([*:2])cc2cc([*:3])ncc21,[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:3]CN1CCC(N(C)C)CC1
CN(C)C1CCN(Cc2cccc3c2cc(C#CCNc2ccc(C(C)(C)C#N)nc2)n3CC(F)(F)F)CC1,CN(C)C1CCN(Cc2ccc3c(c2)cc(C#CCNc2ccc(C(C)(C)C#N)nc2)n3CC(F)(F)F)CC1,mol399,mol218,[*:1]Cn1c([*:2])cc2c([*:3])cccc21>>[*:1]Cn1c([*:2])cc2cc([*:3])ccc21,[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:3]CN1CCC(N(C)C)CC1
CC(C)(C#N)c1ccc(NCC#Cc2cc3c(CN4CCOCC4)cccc3n2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2cc3cc(CN4CCOCC4)ccc3n2CC(F)(F)F)cn1,mol322,mol513,[*:1]Cn1c([*:2])cc2c([*:3])cccc21>>[*:1]Cn1c([*:2])cc2cc([*:3])ccc21,[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:3]CN1CCOCC1
CNCc1cccc2c1cc(C#CCNc1ccc(C(C)(C)C#N)nc1)n2CC(F)(F)F,CNCc1ccc2c(c1)cc(C#CCNc1ccc(C(C)(C)C#N)nc1)n2CC(F)(F)F,mol656,mol46,[*:1]Cn1c([*:2])cc2c([*:3])cccc21>>[*:1]Cn1c([*:2])cc2cc([*:3])ccc21,[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:3]CNC
CN1CCC(NCc2ccc3c(CC(F)(F)F)c(C#CCNc4ccc(C(C)(C)C#N)nc4)[nH]c3c2)CC1,CN1CCC(NCc2cccc3c2cc(C#CCNc2ccc(C(C)(C)C#N)nc2)n3CC(F)(F)F)CC1,mol105,mol408,[*:1]Cc1c([*:2])[nH]c2cc([*:3])ccc12>>[*:1]Cn1c([*:2])cc2c([*:3])cccc21,[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:3]CNC1CCN(C)CC1
CN1CCC(NCc2ccc3c(CC(F)(F)F)c(C#CCNc4ccc(C(C)(C)C#N)nc4)[nH]c3c2)CC1,CN1CCC(NCc2ccc3c(c2)cc(C#CCNc2ccc(C(C)(C)C#N)nc2)n3CC(F)(F)F)CC1,mol105,mol473,[*:1]Cc1c([*:2])[nH]c2cc([*:3])ccc12>>[*:1]Cn1c([*:2])cc2cc([*:3])ccc21,[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:3]CNC1CCN(C)CC1
CN1CCC(NCc2cccc3c2cc(C#CCNc2ccc(C(C)(C)C#N)nc2)n3CC(F)(F)F)CC1,CN1CCC(NCc2ccc3c(c2)cc(C#CCNc2ccc(C(C)(C)C#N)nc2)n3CC(F)(F)F)CC1,mol408,mol473,[*:1]Cn1c([*:2])cc2c([*:3])cccc21>>[*:1]Cn1c([*:2])cc2cc([*:3])ccc21,[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:3]CNC1CCN(C)CC1
CC(C)(C#N)c1ccc(NCC#Cc2cc3nc(CNC4CCOCC4)cc(CC(F)(F)F)c3[nH]2)cn1,CC(C)(C#N)c1ccc(NCC#Cc2cc3cc(CNC4CCOCC4)ncc3n2CC(F)(F)F)cn1,mol107,mol30,[*:1]Cc1cc([*:2])nc2cc([*:3])[nH]c12>>[*:1]Cn1c([*:3])cc2cc([*:2])ncc21,[*:3]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:2]CNC1CCOCC1
CC(C)(C#N)c1ccc(NCC#Cc2cc3c(CNC4CCOCC4)cccc3n2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2cc3cc(CNC4CCOCC4)ncc3n2CC(F)(F)F)cn1,mol348,mol30,[*:1]Cn1c([*:2])cc2c([*:3])cccc21>>[*:1]Cn1c([*:2])cc2cc([*:3])ncc21,[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:3]CNC1CCOCC1
CC(C)(C#N)c1ccc(NCC#Cc2cc3cc(CNC4CCOCC4)ncc3n2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2cc3nc(CNC4CCOCC4)ccc3n2CC(F)(F)F)cn1,mol30,mol360,[*:1]Cn1c([*:2])cc2cc([*:3])ncc21>>[*:1]Cn1c([*:2])cc2nc([*:3])ccc21,[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:3]CNC1CCOCC1
CC(C)(C#N)c1ccc(NCC#Cc2cc3cc(CNC4CCOCC4)ncc3n2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2nc3cc(CNC4CCOCC4)ccc3n2CC(F)(F)F)cn1,mol30,mol428,[*:1]Cn1c([*:2])cc2cc([*:3])ncc21>>[*:1]Cn1c([*:2])nc2cc([*:3])ccc21,[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:3]CNC1CCOCC1
CC(C)(C#N)c1ccc(NCC#Cc2cc3cc(CNC4CCOCC4)ccc3n2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2cc3cc(CNC4CCOCC4)ncc3n2CC(F)(F)F)cn1,mol509,mol30,[*:1]Cn1c([*:2])cc2cc([*:3])ccc21>>[*:1]Cn1c([*:2])cc2cc([*:3])ncc21,[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:3]CNC1CCOCC1
CC(C)(C#N)c1ccc(NCC#Cc2cc3cc(CNC4CCOCC4)cnc3n2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2cc3cc(CNC4CCOCC4)ncc3n2CC(F)(F)F)cn1,mol649,mol30,[*:1]Cn1c([*:2])cc2cc([*:3])cnc21>>[*:1]Cn1c([*:2])cc2cc([*:3])ncc21,[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:3]CNC1CCOCC1
CC(C)(C#N)c1ccc(NCC#CC2Nc3cc(CNC4CCOCC4)ccc3N2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2cc3cc(CNC4CCOCC4)ncc3n2CC(F)(F)F)cn1,mol807,mol30,[*:1]CN1c2ccc([*:2])cc2NC1[*:3]>>[*:1]Cn1c([*:3])cc2cc([*:2])ncc21,[*:3]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:2]CNC1CCOCC1
CC(C)(C#N)c1ccc(NCC#Cc2[nH]c3cc(CNC4CCOCC4)ccc3c2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2cc3cc(CNC4CCOCC4)ncc3n2CC(F)(F)F)cn1,mol812,mol30,[*:1]Cc1c([*:2])[nH]c2cc([*:3])ccc12>>[*:1]Cn1c([*:2])cc2cc([*:3])ncc21,[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:3]CNC1CCOCC1
CC(C)(C#N)c1ccc(NCC#Cc2cc3nc(CNC4CCOCC4)cc(CC(F)(F)F)c3[nH]2)cn1,CC(C)(C#N)c1ccc(NCC#Cc2cc3c(CNC4CCOCC4)cccc3n2CC(F)(F)F)cn1,mol107,mol348,[*:1]Cc1cc([*:2])nc2cc([*:3])[nH]c12>>[*:1]Cn1c([*:3])cc2c([*:2])cccc21,[*:3]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:2]CNC1CCOCC1
CC(C)(C#N)c1ccc(NCC#Cc2cc3nc(CNC4CCOCC4)cc(CC(F)(F)F)c3[nH]2)cn1,CC(C)(C#N)c1ccc(NCC#Cc2cc3nc(CNC4CCOCC4)ccc3n2CC(F)(F)F)cn1,mol107,mol360,[*:1]Cc1cc([*:2])nc2cc([*:3])[nH]c12>>[*:1]Cn1c([*:3])cc2nc([*:2])ccc21,[*:3]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:2]CNC1CCOCC1
CC(C)(C#N)c1ccc(NCC#Cc2cc3nc(CNC4CCOCC4)cc(CC(F)(F)F)c3[nH]2)cn1,CC(C)(C#N)c1ccc(NCC#Cc2nc3cc(CNC4CCOCC4)ccc3n2CC(F)(F)F)cn1,mol107,mol428,[*:1]Cc1cc([*:2])nc2cc([*:3])[nH]c12>>[*:1]Cn1c([*:3])nc2cc([*:2])ccc21,[*:3]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:2]CNC1CCOCC1
